"Domain","Available","Premium","Price"
"jojosshaveice.com","taken","",""
"kalalautrail.com","taken","",""
"kauai100.com","taken","",""
"helicopters-kauai.com","taken","",""
"leaf.tv","taken","",""
"microwavewatt.com","taken","",""
"melissamccarthy.com","taken","",""
"joybird.com","taken","",""
"thetab.com","taken","",""
"summitmedia-digital.com","taken","",""
"santanderbank.com","taken","",""
"thetalko.com","taken","",""
"dryscalpgone.com","taken","",""
"pulptastic.com","taken","",""
"wooplr.com","available","premium","$2,889.00"
"treehugger.com","taken","",""
"internetshutdowns.in","taken","",""
"mananalu.com","taken","",""
"aviatornation.com","taken","",""
"seicil.com","taken","",""
"tengahealthcare.com","taken","",""
"heychickadee.com","taken","",""
"note.com","taken","",""
"scrubbingbubbles.com","taken","",""
"sltrib.com","taken","",""
"liagriffith.com","taken","",""
"wellsaidcreations.com","available","","$10.28"
"wcpo.com","taken","",""
"texastamale.com","taken","",""
"eatcoolhaus.com","taken","",""
"tipsyscoop.com","taken","",""
"brooklynbiltong.com","taken","",""
"killerbrownie.com","taken","",""
"jenis.com","taken","",""
"goldbely.com","taken","",""
"boylanbottling.com","taken","",""
"akagi.com","taken","",""
"wtoc.com","taken","",""
"calibre-ebook.com","taken","",""
"pickmyreader.com","taken","",""
"thedreslyn.com","taken","",""
"disneystore.com","taken","",""
"economist.com","taken","",""
"oeb.ca","taken","",""
"afpbb.com","taken","",""
"oursaltykitchen.com","taken","",""
"acommunaltable.com","taken","",""
"serenabakessimplyfromscratch.com","taken","",""
"sketch.london","taken","",""
"nts.org.uk","taken","",""
"airbnb.com.au","taken","",""
"bahamas.com","taken","",""
"normann-copenhagen.com","taken","",""
"newsday.com","taken","",""
"lesleebroersma.com","taken","",""
"hibiya-clinic.com","taken","",""
"setsusachiaki.com","taken","",""
"moudouken.net","taken","",""
"gomoudouken.net","taken","",""
"august.com","taken","",""
"berkshireblanket.com","taken","",""
"nipyata.com","taken","",""
"peakdesign.com","taken","",""
"filthymagic.com","taken","",""
"yumiadachi.com","taken","",""
"bogeyboxgolfclub.com","taken","",""
"giltcity.com","taken","",""
"horchow.com","taken","",""
"gilt.com","taken","",""
"splashthat.com","taken","",""
"rarehistoricalphotos.com","taken","",""
"reviewjournal.com","taken","",""
"mymizu.co","taken","",""
"totallybamboo.com","taken","",""
"activateapparel.com","taken","",""
"lovepiececlub.com","taken","",""
"iroha-tenga.com","taken","",""
"daimaru.co.jp","taken","",""
"yomiuri.co.jp","taken","",""
"dmdepart.jp","taken","",""
"kidzcandesign.com","taken","",""
"fromyouflowers.com","taken","",""
"bookdepository.com","taken","",""
"aliceandolivia.com","taken","",""
"ana-cooljapan.com","taken","",""
"allbirds.com","taken","",""
"premeddonna.com","available","","$10.28"
"sharecare.com.br","taken","",""
"jossandmain.com","taken","",""
"trestique.com","taken","",""
"velvet59.com","taken","",""
"universalorlando.com","taken","",""
"craftbeerclub.com","taken","",""
"gifttree.com","taken","",""
"clubw.com","taken","",""
"upworthy.com","taken","",""
"d23.com","taken","",""
"quikly.com","taken","",""
"wag.com","taken","",""
"danskin.com","taken","",""
"francfranc.com","taken","",""
"ray-ban.com","taken","",""
"betterworldbooks.com","taken","",""
"frontrowshop.com","taken","",""
"skymall.com","taken","",""
"barneyswarehouse.com","taken","",""
"j-retail.jp","taken","",""
"smokonow.com","taken","",""
"sturbridgeyankee.com","taken","",""
"marimekko.com","taken","",""
"13abc.com","taken","",""
"toledoblade.com","taken","",""
"nissan.co.jp","taken","",""
"jbrandjeans.com","taken","",""
"pinholepress.com","taken","",""
"senate.gov","taken","",""
"garnethill.com","taken","",""
"cariloha.com","taken","",""
"brookstone.com","taken","",""
"rejuvenation.com","taken","",""
"allswellhome.com","taken","",""
"makemorecents.com","taken","",""
"thenorthface.com","taken","",""
"cleansport.org","taken","",""
"modmoose.com","taken","",""
"cordonbleu.edu","taken","",""
"danielwellington.com","taken","",""
"expressionscatalog.com","taken","",""
"tokyocomiccon.jp","taken","",""
"theamas.com","taken","",""
"bulubox.com","taken","",""
"bluum.com","taken","",""
"barkbox.com","taken","",""
"unboundbox.com","taken","",""
"phonecaseofthemonth.com","taken","",""
"plated.com","taken","",""
"manpacks.com","available","premium","$70,000.00"
"wantable.com","taken","",""
"vellabox.com","taken","",""
"getsketchbox.com","taken","",""
"goodmouth.com","taken","",""
"friendsofanimals.org","taken","",""
"panthera.org","taken","",""
"fetcheyewear.com","taken","",""
"theelephantpants.com","taken","",""
"sheldrickwildlifetrust.org","taken","",""
"squattypotty.com","taken","",""
"mozillalabs.com","taken","",""
"fiercesimplicity.com","available","premium","$599.00"
"mjhnyc.org","taken","",""
"bbg.org","taken","",""
"nycgovparks.org","taken","",""
"newmuseum.org","taken","",""
"ucbtheatre.com","taken","",""
"siferry.com","taken","",""
"brooklynbrewery.com","taken","",""
"donyc.com","taken","",""
"knittingfactory.com","taken","",""
"freetoursbyfoot.com","taken","",""
"brooklynmuseum.org","taken","",""
"toraku.co.jp","taken","",""
"ruelala.com","taken","",""
"tinyprints.com","taken","",""
"phonesoap.com","taken","",""
"dumbwaystodie.com","taken","",""
"lonesome-dragon.com","taken","",""
"newyorktoycollective.com","taken","",""
"peepshowtoys.com","taken","",""
"spectrumboutique.com","taken","",""
"warnerbroscanada.com","taken","",""
"wanelo.com","taken","",""
"johnniewalker.com","taken","",""
"yogibo.com","taken","",""
"igg.me","taken","",""
"carleton.ca","taken","",""
"cjiwr.com","taken","",""
"tula.com","taken","",""
"vanityplanet.com","taken","",""
"charleyharperprints.com","taken","",""
"wdrake.com","taken","",""
"stikscosmetiks.com","taken","",""
"sunrise.am","available","premium","$85,000.00"
"thetileapp.com","taken","",""
"thetrackr.com","taken","",""
"chipolo.net","taken","",""
"plumprint.com","taken","",""
"flic.io","taken","",""
"fluidstance.com","taken","",""
"photojojo.com","taken","",""
"gozolt.com","taken","",""
"automatic.com","taken","",""
"nhk-ondemand.jp","taken","",""
"getmagicbullet.com","taken","",""
"andritarenee.com","taken","",""
"portaldacoreia.com","taken","",""
"saraiva.com.br","taken","",""
"blankietails.com","taken","",""
"dirty.ru","taken","",""
"brookthere.com","taken","",""
"playout-underwear.com","taken","",""
"descenza.com","taken","",""
"iampitbullstrong.com","taken","",""
"sundown.com.br","taken","",""
"mirenesse.com","taken","",""
"cacaushow.com.br","taken","",""
"quirky.com","taken","",""
"craftcoffee.com","taken","",""
"citizenbean.com","taken","",""
"cafepress.com","taken","",""
"sugru.com","taken","",""
"modsprout.com","taken","",""
"mistobox.com","taken","",""
"momluck.com","taken","",""
"thefarmgirlgabs.com","taken","",""
"momdot.com","taken","",""
"thekindergartenconnection.com","taken","",""
"asthebunnyhops.com","taken","",""
"allmodern.com","taken","",""
"pockethosetopbrass.com","taken","",""
"cdc.gov.tw","taken","",""
"ptokyo.org","taken","",""
"crest.com","taken","",""
"powster.com","taken","",""
"nagoyatv.com","taken","",""
"yokogao-movie.jp","taken","",""
"expandfurniture.com","taken","",""
"shelfpack.com","taken","",""
"gadgetsandgear.com","taken","",""
"buyolympia.com","taken","",""
"7premium.jp","taken","",""
"matchbookmag.com","taken","",""
"pinkolive.com","taken","",""
"jamesallen.com","taken","",""
"tooriginal.com","taken","",""
"kidrobot.com","taken","",""
"hush.technology","taken","",""
"calypsocrystal.com","taken","",""
"gg-shibuya.jp","taken","",""
"shiratamaotama.com","taken","",""
"shutterfly.com","taken","",""
"starkbros.com","taken","",""
"zeitgeist.photo","available","","$25.98"
"shoesofprey.com","taken","",""
"luminaid.com","taken","",""
"buydeeper.com","taken","",""
"shirouiryo.com","taken","",""
"dreamfarm.com","taken","",""
"quarterly.co","available","premium","$5,111.00"
"awesomepack.com","taken","",""
"infinitycrates.co.uk","taken","",""
"geekmebox.com","available","premium","$2,695.00"
"otakumode.com","taken","",""
"z-holdings.co.jp","taken","",""
"tdnet.info","taken","",""
"qdesigns.co","taken","",""
"coolbox.io","taken","",""
"rhbabyandchild.com","taken","",""
"ozkewk.net","taken","",""
"chairish.com","taken","",""
"canopy.co","taken","",""
"interiordefine.com","taken","",""
"retroplanet.com","taken","",""
"paulmichaelcompany.com","taken","",""
"aplusrstore.com","taken","",""
"highfashionhome.com","taken","",""
"huset-shop.com","taken","",""
"byboe.com","taken","",""
"alexisbittar.com","taken","",""
"youngfrankk.com","taken","",""
"fatbraintoys.com","taken","",""
"jane.com","taken","",""
"slyfoxthreads.com","taken","",""
"sophieandtrey.com","taken","",""
"beinspiredboutique.com","taken","",""
"sourpussclothing.com","taken","",""
"singer22.com","taken","",""
"lucyinthesky.com","taken","",""
"hiddenfashion.com","taken","",""
"ornc.org","taken","",""
"travelandleisure.com","taken","",""
"touringplans.com","taken","",""
"ocregister.com","taken","",""
"atlasofwonders.com","taken","",""
"hulu.jp","taken","",""
"shobunsha.co.jp","taken","",""
"meijiyasuda.co.jp","taken","",""
"demae-can.com","taken","",""
"sbth.co","taken","",""
"pixta.jp","taken","",""
"ezcater.com","taken","",""
"tullys.co.jp","taken","",""
"erikasglutenfreekitchen.com","taken","",""
"guiabolso.com.br","taken","",""
"haagen-dazs.co.jp","taken","",""
"slashfilm.com","taken","",""
"act.gov.au","taken","",""
"queensland.com","taken","",""
"parksaustralia.gov.au","taken","",""
"worldatlas.com","taken","",""
"rezexpert.com","taken","",""
"wa.gov.au","taken","",""
"usedirect.com","taken","",""
"nsw.gov.au","taken","",""
"irishcentral.com","taken","",""
"blogspot.ie","taken","",""
"nanao-7prototype.jp","available","",""
"motherjones.com","taken","",""
"strawlessocean.org","taken","",""
"onelessstraw.org","taken","",""
"sprint.com","taken","",""
"ryudo-matsukawa.com","taken","",""
"hi-tailor.jp","taken","",""
"unionstationdc.com","taken","",""
"starbucks.ca","taken","",""
"reducetarian.org","taken","",""
"ukonserve.com","taken","",""
"preserve.eco","taken","",""
"marks.jp","taken","",""
"jococups.com","taken","",""
"healthyhumanlife.com","taken","",""
"dur.ac.uk","taken","",""
"geograph.org.uk","taken","",""
"spoonedinburgh.co.uk","taken","",""
"westcoastrailways.co.uk","taken","",""
"edinburghmuseums.org.uk","taken","",""
"elephanthouse.biz","taken","",""
"grandluxuryhotels.com","taken","",""
"nymr.co.uk","taken","",""
"greyfriarskirk.com","taken","",""
"alnwickcastle.com","taken","",""
"gloucestercathedral.org.uk","taken","",""
"wou.edu","taken","",""
"oceanconservancy.org","taken","",""
"nhm.ac.uk","taken","",""
"marinebiology.org","taken","",""
"fukuoka.jp","available","",""
"mnn.com","taken","",""
"gocoastguard.com","taken","",""
"ishikawa.jp","available","",""
"eco-business.com","taken","",""
"davidsassoonlibrary.com","taken","",""
"starfield.co.kr","taken","",""
"gov.taipei","taken","",""
"woodsinthebooks.sg","taken","",""
"loft-prj.co.jp","taken","",""
"projecttimeoff.com","taken","",""
"roccofortehotels.com","taken","",""
"publicmobile.ca","taken","",""
"tripofalifestyle.com","taken","",""
"nokidhungry.org","taken","",""
"thecoffeebrewing.co","taken","",""
"tokutenryoko.com","taken","",""
"foxplay.com","taken","",""
"birthplaceofcountrymusic.org","taken","",""
"kyotoanimation.co.jp","taken","",""
"produce101.jp","taken","",""
"annsummers.com","taken","",""
"kaeru-abematv.jp","taken","",""
"smbc-card.com","taken","",""
"thebark.com","taken","",""
"awn.com","taken","",""
"elephantsforafrica.org","taken","",""
"usm.edu","taken","",""
"donateblood.com.au","taken","",""
"butler.edu","taken","",""
"decider.com","taken","",""
"hypebeast.com","taken","",""
"wallethub.com","taken","",""
"themarysue.com","taken","",""
"kolevesvendeglo.hu","taken","",""
"padthaiwokbar.com","taken","",""
"pizzame.hu","taken","",""
"mazeltov.hu","taken","",""
"szimpla.hu","taken","",""
"ford.mx","taken","",""
"ey.com","taken","",""
"at-s.com","taken","",""
"signaturestyle.com","taken","",""
"seiban.co.jp","taken","",""
"camp.com","taken","",""
"milkbarstore.com","taken","",""
"12news.com","taken","",""
"foxtel.com.au","taken","",""
"preciousmoments.com","taken","",""
"wearenotmartha.com","taken","",""
"beyondthechickencoop.com","taken","",""
"climbinggriermountain.com","taken","",""
"howsweeteats.com","taken","",""
"foodiegirlchicago.com","taken","",""
"retrokitchen.com.au","taken","",""
"keepcup.com","taken","",""
"flyk.com.au","taken","",""
"untrashy.com","taken","",""
"jaguarbrasil.com.br","taken","",""
"miraco-net.com","taken","",""
"pokemon-sunmoon.com","taken","",""
"bulbagarden.net","taken","",""
"houzz.com","taken","",""
"todayshomeowner.com","taken","",""
"diffen.com","taken","",""
"briankyles.com","taken","",""
"chemist-4-u.com","taken","",""
"liverpoolecho.co.uk","taken","",""
"koin.com","taken","",""
"cocacola.co.jp","taken","",""
"fed.us","taken","",""
"globalchange.gov","taken","",""
"climate.gov","taken","",""
"ucar.edu","taken","",""
"climaterealityproject.org","taken","",""
"ucdavis.edu","taken","",""
"insidethegames.biz","taken","",""
"theconversation.com","taken","",""
"theicegarden.com","taken","",""
"samanthalangstein.com","available","","$10.28"
"bearinabarnnyc.com","taken","",""
"telegraaf.nl","taken","",""
"rtvdrenthe.nl","taken","",""
"ad.nl","taken","",""
"fifa.com","taken","",""
"france24.com","taken","",""
"halloweenforum.com","taken","",""
"glendalehalloween.com","taken","",""
"encorereunion.com","taken","",""
"vacationhomescollection.com","taken","",""
"jeevesfloridarentals.com","taken","",""
"oshiete-dr.net","taken","",""
"aap.org","taken","",""
"experiencekissimmee.com","taken","",""
"fridaysforfuture.org","taken","",""
"averyleighwhite.com","taken","",""
"seizetheawkward.org","taken","",""
"chuden.jp","taken","",""
